suite,n_muestreados,n_fallidos,pct_oraciones_multi,pct_texto_ingles,lexical_baseline_score,source_target_guard,cre_isi,flow_penalty,negation_penalty,arithmetic_penalty,reference_penalty
codehalu,200,0,100.0,99.0,98.0,65.5,82.0,94.5,92.5,7.0,0.0
halubench,200,0,100.0,92.0,100.0,86.0,90.0,99.5,59.0,0.0,0.0
halueval_dialogue,200,0,72.0,96.5,100.0,70.0,23.0,41.0,55.0,0.0,0.0
halueval_general,200,0,89.5,96.5,100.0,5.0,60.0,92.5,40.0,1.0,0.0
halueval_qa,200,0,4.5,98.0,100.0,29.5,0.5,4.5,29.0,0.0,0.0
halueval_summarization,200,0,94.0,94.0,100.0,24.0,71.5,97.5,74.5,0.0,0.0
legal_hallucinations,200,0,100.0,99.0,95.5,99.0,92.0,86.5,49.0,0.0,3.0
truthfulqa,200,0,1.0,99.5,93.5,5.5,0.0,0.0,32.0,0.0,0.0
